n_layers,n_neurons,learning_rate,batch_size,val_accuracy,error,time_s,co2_kg
2,128,0.001,64,0.7942386831275721,0.20576131687242794,1.606013298034668,5.298455461290436e-06
1,128,0.0005,16,0.8055555555555556,0.19444444444444442,0.96376633644104,4.093464064071181e-06
1,512,0.001,128,0.7921810699588477,0.20781893004115226,0.973135232925415,4.151311436090912e-06
1,128,0.0001,64,0.772633744855967,0.22736625514403297,0.3949265480041504,2.5161573502418743e-06
2,256,0.0001,64,0.7829218106995884,0.21707818930041156,6.573353052139282,1.3326787578297074e-05
3,128,0.01,32,0.8055555555555556,0.19444444444444442,3.865640163421631,8.680694457374717e-06
5,32,0.005,256,0.7973251028806584,0.2026748971193416,0.38477301597595215,3.2242848231170857e-06
3,128,0.0005,64,0.7932098765432098,0.20679012345679015,2.76761794090271,6.100747223111691e-06
1,128,0.01,128,0.7901234567901234,0.2098765432098766,0.29584479331970215,3.1048004478954603e-06
4,256,0.01,256,0.8004115226337448,0.19958847736625518,7.0647947788238525,1.452468410878586e-05
4,128,0.0001,64,0.7880658436213992,0.2119341563786008,3.7822132110595703,8.477579669811475e-06
5,256,0.0001,256,0.7962962962962963,0.20370370370370372,10.16384506225586,2.0878532622786054e-05
3,64,0.0001,16,0.7962962962962963,0.20370370370370372,2.020336151123047,5.870509018010191e-06
3,256,0.001,64,0.7870370370370371,0.2129629629629629,10.676496505737305,2.0763768578124867e-05
4,32,0.01,128,0.8106995884773662,0.18930041152263377,0.3967020511627197,3.2985074524760806e-06
1,512,0.001,256,0.7932098765432098,0.20679012345679015,1.0992064476013184,3.6173219701648927e-06
4,256,0.0001,32,0.8024691358024691,0.19753086419753085,15.771623611450195,2.6765000116446114e-05
2,64,0.01,32,0.8024691358024691,0.19753086419753085,0.807689905166626,3.812014445497049e-06
5,128,0.001,256,0.7788065843621399,0.2211934156378601,2.864973545074463,7.432123466967235e-06
2,64,0.005,128,0.7983539094650206,0.2016460905349794,0.5412807464599609,3.469356089022672e-06
