n_layers,n_neurons,learning_rate,batch_size,val_accuracy,error,time_s,co2_kg
1,256,0.01,16,0.7860082304526749,0.21399176954732513,1.6465225219726562,4.150664221145082e-06
4,32,0.0005,128,0.7901234567901234,0.2098765432098766,0.6078481674194336,2.4649053384823124e-06
1,128,0.01,256,0.7921810699588477,0.20781893004115226,0.35340452194213867,2.080892052053479e-06
5,512,0.0001,256,0.8117283950617284,0.18827160493827155,39.07978534698486,6.70833518956853e-05
1,32,0.005,64,0.7890946502057613,0.2109053497942387,0.3357844352722168,2.0160249307628e-06
1,128,0.0001,16,0.7818930041152263,0.21810699588477367,1.301964521408081,3.596309582764018e-06
2,32,0.0001,32,0.7849794238683128,0.21502057613168724,0.9423494338989258,2.999571421066124e-06
5,128,0.0001,64,0.7973251028806584,0.2026748971193416,5.548743486404419,1.0535728387707827e-05
1,32,0.0001,16,0.757201646090535,0.24279835390946503,1.0482735633850098,3.1959912691587915e-06
5,64,0.0001,256,0.7849794238683128,0.21502057613168724,1.3469762802124023,3.666800521689222e-06
4,32,0.0005,256,0.7808641975308642,0.21913580246913578,0.3971993923187256,2.128638765843466e-06
5,128,0.005,32,0.7983539094650206,0.2016460905349794,8.1079421043396,1.467999924295737e-05
3,64,0.0005,32,0.7962962962962963,0.20370370370370372,1.8375399112701416,4.6031937339120625e-06
5,512,0.01,256,0.7736625514403292,0.22633744855967075,37.08175301551819,6.36725726583092e-05
6,32,0.0005,128,0.7870370370370371,0.2129629629629629,0.7694094181060791,2.741356032397741e-06
1,128,0.001,16,0.8024691358024691,0.19753086419753085,1.3208725452423096,3.651487695188194e-06
3,256,0.05,64,0.6584362139917695,0.34156378600823045,14.039602279663086,2.5755756855856155e-05
1,32,0.005,256,0.7880658436213992,0.2119341563786008,0.15622544288635254,1.7474673188214314e-06
5,512,0.0005,256,0.8065843621399177,0.1934156378600823,45.97542667388916,7.698919832764519e-05
1,256,0.0005,128,0.7880658436213992,0.2119341563786008,0.6049449443817139,2.461036802268297e-06
1,32,0.001,128,0.7788065843621399,0.2211934156378601,0.2121732234954834,1.8203917022112148e-06
1,256,0.001,64,0.7921810699588477,0.20781893004115226,0.7999269962310791,2.7803308792257743e-06
3,512,0.01,64,0.7767489711934157,0.22325102880658432,66.42535257339478,0.00010911626495288913
5,64,0.001,128,0.7880658436213992,0.2119341563786008,1.5969905853271484,4.07887818205375e-06
5,32,0.0005,128,0.801440329218107,0.19855967078189296,0.694011926651001,2.6083264402825573e-06
5,32,0.001,256,0.7973251028806584,0.2026748971193416,0.5154869556427002,2.3427896452098993e-06
2,256,0.01,64,0.808641975308642,0.191358024691358,11.834322929382324,2.1582836081844726e-05
1,128,0.005,128,0.7962962962962963,0.20370370370370372,0.410815954208374,2.1431825591244093e-06
1,128,0.0001,256,0.727366255144033,0.27263374485596703,0.346050500869751,2.02932362985463e-06
5,32,0.01,128,0.8034979423868313,0.19650205761316875,0.6897954940795898,2.6011503059908268e-06
4,256,0.005,256,0.8024691358024691,0.19753086419753085,10.828628301620483,2.1130133424381592e-05
3,32,0.0005,128,0.7757201646090535,0.22427983539094654,0.4464254379272461,2.1927609734846763e-06
5,512,0.005,256,0.7880658436213992,0.2119341563786008,36.63612365722656,6.266434639513901e-05
3,256,0.0001,32,0.7942386831275721,0.20576131687242794,20.36142659187317,3.429110405399594e-05
5,32,0.01,64,0.7818930041152263,0.21810699588477367,0.9726309776306152,3.0685607915213233e-06
1,512,0.0005,128,0.7932098765432098,0.20679012345679015,1.3783109188079834,3.7285069658174115e-06
4,64,0.0005,128,0.7880658436213992,0.2119341563786008,1.3132240772247314,3.6153084645945457e-06
3,256,0.0001,256,0.8076131687242798,0.1923868312757202,8.14867877960205,1.614793113625555e-05
3,64,0.005,16,0.7767489711934157,0.22325102880658432,2.7898473739624023,5.991579626061104e-06
5,512,0.0005,32,0.7962962962962963,0.20370370370370372,297.0683522224426,0.0004763418817509297
1,256,0.0001,64,0.7705761316872428,0.22942386831275718,0.7753992080688477,2.7448158433793547e-06
3,32,0.005,64,0.7860082304526749,0.21399176954732513,0.684478759765625,2.5657292877053416e-06
4,512,0.01,256,0.8168724279835391,0.1831275720164609,35.00118827819824,5.877444326161076e-05
2,256,0.0001,64,0.7829218106995884,0.21707818930041156,12.456576347351074,2.2414951829042913e-05
4,32,0.0001,256,0.7582304526748971,0.24176954732510292,0.4173262119293213,2.1823827275165382e-06
1,128,0.005,64,0.7973251028806584,0.2026748971193416,0.5389633178710938,2.3434989720415624e-06
3,256,0.01,128,0.808641975308642,0.191358024691358,11.948557615280151,2.2808868935428367e-05
5,256,0.001,256,0.7983539094650206,0.2016460905349794,14.510992527008057,2.7146181786038287e-05
4,32,0.0001,64,0.7746913580246914,0.22530864197530864,0.909912109375,2.956541744409599e-06
1,256,0.01,64,0.801440329218107,0.19855967078189296,0.6795454025268555,2.59255234546658e-06
4,256,0.0001,32,0.8024691358024691,0.19753086419753085,29.86453652381897,5.184501458727666e-05
2,64,0.0001,32,0.7901234567901234,0.2098765432098766,0.8712000846862793,2.8821157215845434e-06
